k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4096 10 7.0778 0.002 0.00019798 0.10844 0.003 0.00029394 0.10743
10 4096 12 7.0778 0.002 0.00019798 0.10774 0.004 0.00038788 0.10785
10 4096 20 7.0778 0.006 0.0005697 0.1116 0.008 0.00074343 0.11186
10 4096 25 7.0778 0.007 0.00065758 0.113 0.01 0.00090909 0.11311
10 4096 50 7.0778 0.016 0.0017616 0.12316 0.019 0.0015545 0.12291
10 4096 75 7.0778 0.022 0.0025414 0.13251 0.025 0.002298 0.13275
10 4096 100 7.0778 0.033 0.0036475 0.14224 0.032 0.0030061 0.14189
10 4096 250 7.0778 0.063 0.0059909 0.20263 0.064 0.0059636 0.20054
10 4096 500 7.0778 0.111 0.01311 0.30857 0.108 0.0094303 0.30532
10 8192 1 7.0778 0.001 0.0001 0.12054 0 0 0.11944
10 8192 2 7.0778 0.001 0.0001 0.11825 0 0 0.11784
10 8192 3 7.0778 0.001 0.0001 0.11759 0.001 0.0001 0.11768
10 8192 4 7.0778 0.001 0.0001 0.11768 0.002 0.00019798 0.11785
10 8192 5 7.0778 0.001 0.0001 0.1193 0.002 0.00019798 0.11859
10 8192 8 7.0778 0.002 0.00019798 0.12029 0.003 0.00029394 0.11992
10 8192 10 7.0778 0.002 0.00019798 0.11969 0.003 0.00029394 0.11996
10 8192 12 7.0778 0.002 0.00019798 0.12125 0.004 0.00038788 0.12178
10 8192 20 7.0778 0.006 0.0005697 0.12366 0.008 0.00074343 0.12439
10 8192 25 7.0778 0.007 0.00065758 0.12689 0.01 0.00090909 0.12724
10 8192 50 7.0778 0.016 0.0017616 0.13599 0.019 0.0015545 0.13612
10 8192 75 7.0778 0.022 0.0025414 0.14574 0.025 0.002298 0.14552
10 8192 100 7.0778 0.033 0.0036475 0.15557 0.032 0.0030061 0.15504
10 8192 250 7.0778 0.063 0.0059909 0.21842 0.064 0.0059636 0.21567
10 8192 500 7.0778 0.111 0.01311 0.32118 0.108 0.0094303 0.31785
