k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 16 0.088 25 1 1e-06 19.478 0.0499 0.021241 0.025411 0 0.00055774 0.020447 0.00422 41.255 100000 100 100 0.0574 0.026251 0.024406
10 1 16 0.088 25 1 1.375e-06 19.478 0.0499 0.021241 0.025658 0 0.00055312 0.02065 0.0042674 41.255 100000 100 100 0.0574 0.026251 0.024397
10 1 16 0.088 25 1 1.75e-06 19.478 0.0499 0.021241 0.025433 0 0.00055342 0.020443 0.0042554 41.255 100000 100 100 0.0574 0.026251 0.024383
10 1 16 0.088 25 1 2.5e-06 19.478 0.0499 0.021241 0.025406 0 0.00055637 0.020442 0.0042238 41.255 100000 100 100 0.0574 0.026251 0.024866
10 1 16 0.088 25 1 3.75e-06 19.478 0.0499 0.021241 0.025572 0 0.00055943 0.020571 0.0042586 41.255 100000 100 100 0.0574 0.026251 0.024679
10 1 16 0.088 25 1 5e-06 19.478 0.0499 0.021241 0.025691 0 0.00055866 0.020694 0.0042521 41.255 100000 100 100 0.0574 0.026251 0.024409
10 1 16 0.088 25 1 7.5e-06 19.478 0.0499 0.021241 0.025685 0 0.00055503 0.020666 0.0042813 41.255 100000 100 100 0.0574 0.026251 0.024396
10 1 16 0.088 25 1 1e-05 19.478 0.0499 0.021241 0.025704 0 0.00056008 0.020674 0.0042848 41.255 100000 100 100 0.0574 0.026251 0.024412
10 1 16 0.088 25 1 1.375e-05 19.478 0.0499 0.021241 0.025027 0 0.00055706 0.020048 0.0042398 41.255 100000 100 100 0.0574 0.026251 0.023833
10 1 16 0.088 25 1 1.75e-05 19.478 0.0499 0.021241 0.025269 0 0.00056051 0.020256 0.0042699 41.255 100000 100 100 0.0574 0.026251 0.023853
10 1 16 0.088 25 1 2.5e-05 19.478 0.0499 0.021241 0.025579 0 0.0005507 0.020553 0.0042924 41.255 100000 100 100 0.0574 0.026251 0.024457
10 1 16 0.088 25 1 3.75e-05 19.478 0.0499 0.021241 0.02547 0 0.00054842 0.020528 0.0042097 41.255 100000 100 100 0.0574 0.026251 0.024427
10 1 16 0.088 25 1 5e-05 19.478 0.0499 0.021241 0.025443 0 0.0005466 0.0205 0.0042161 41.255 100000 100 100 0.0574 0.026251 0.024425
10 1 16 0.088 25 1 7.5e-05 19.478 0.0499 0.021241 0.025466 0 0.00054224 0.020516 0.0042263 41.255 100000 100 100 0.0574 0.026251 0.024397
10 1 16 0.088 25 1 0.0001 19.478 0.0499 0.021241 0.025356 0 0.000548 0.020427 0.0041984 41.255 100000 100 100 0.0574 0.026251 0.024328
10 1 16 0.088 25 1 0.0001375 19.478 0.0499 0.021241 0.025619 0 0.00056508 0.020601 0.0042665 41.255 100000 100 100 0.0574 0.026251 0.024391
10 1 16 0.088 25 1 0.000175 19.478 0.0499 0.021241 0.025738 0 0.00055511 0.020698 0.0043024 41.255 100000 100 100 0.0574 0.026251 0.024379
10 1 16 0.088 25 1 0.00025 19.478 0.0499 0.021241 0.0254 0 0.00055502 0.02045 0.0042091 41.255 100000 100 100 0.0574 0.026251 0.024398
10 1 16 0.088 25 1 0.000375 19.478 0.0499 0.021241 0.025406 0 0.00055135 0.020445 0.004229 41.255 100000 100 100 0.0574 0.026251 0.024394
10 1 16 0.088 25 1 0.0005 19.478 0.0499 0.021241 0.025458 0 0.00055561 0.020497 0.004222 41.255 100000 100 100 0.0574 0.026251 0.02436
10 1 16 0.088 25 1 0.00075 19.478 0.0499 0.021241 0.025892 0 0.00057544 0.020854 0.0042789 41.255 100000 100 100 0.0574 0.026251 0.024399
10 1 16 0.088 25 1 0.001 19.478 0.0499 0.021241 0.025384 0 0.00055832 0.020447 0.0041988 41.255 100000 100 100 0.0574 0.026251 0.02442
