k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time
10 1 16 0.088 25 1 0.0025 18.894 0.0566 0.025702 0.025452 0 0.00053429 0.02041 0.0042847 44.821 100000 100 100 0.0597 0.028615 0.024301
10 1 16 0.088 25 1 0.00375 18.894 0.0565 0.025523 0.025097 0 0.00052769 0.020061 0.00428 44.758 100000 100 100 0.0594 0.0282 0.02378
10 1 16 0.088 25 1 0.005 18.894 0.0565 0.025523 0.02535 0 0.0005231 0.020337 0.0042646 44.689 100000 100 100 0.0594 0.0282 0.024284
10 1 16 0.088 25 1 0.0075 18.894 0.0552 0.024537 0.025263 0 0.00054272 0.020249 0.0042418 44.032 100000 100 100 0.0585 0.027555 0.023612
10 1 16 0.088 25 1 0.01 18.894 0.0539 0.023468 0.025177 0 0.00052831 0.020216 0.0042033 43.408 100000 100 100 0.0574 0.026492 0.023584
10 3 11 0.088 25 1 1e-07 3.23014 0.5165 0.098777 0.23076 0 0.0012009 0.052002 0.1773 3190.3 100000 100 100 0.5148 0.10218 0.21505
10 3 11 0.088 25 1 1.375e-07 3.2301 0.5165 0.098777 0.20741 0 0.0011023 0.036387 0.1696 3190.3 100000 100 100 0.5148 0.10218 0.20716
10 3 11 0.088 25 1 1.75e-07 3.2301 0.5165 0.098777 0.2085 0 0.0010938 0.036802 0.17037 3190.3 100000 100 100 0.5148 0.10218 0.20799
10 3 11 0.088 25 1 2.5e-07 3.2301 0.5165 0.098777 0.20816 0 0.001057 0.036789 0.17007 3190.3 100000 100 100 0.5148 0.10218 0.20806
10 3 11 0.088 25 1 3.75e-07 3.2301 0.5165 0.098777 0.2086 0 0.0010941 0.036916 0.17026 3190.3 100000 100 100 0.5148 0.10218 0.20847
10 3 11 0.088 25 1 5e-07 3.2301 0.5165 0.098777 0.20985 0 0.0012023 0.037207 0.17121 3190.3 100000 100 100 0.5148 0.10218 0.21072
10 3 11 0.088 25 1 7.5e-07 3.2301 0.5165 0.098777 0.20924 0 0.0010684 0.037044 0.17088 3190.3 100000 100 100 0.5148 0.10218 0.2104
10 3 11 0.088 25 1 1e-06 3.2301 0.5165 0.098777 0.22583 0 0.0011485 0.050943 0.17342 3190.3 100000 100 100 0.5148 0.10218 0.22441
10 3 11 0.088 25 1 1.375e-06 3.2301 0.5165 0.098777 0.20805 0 0.001074 0.036806 0.16994 3190.3 100000 100 100 0.5148 0.10218 0.20928
10 3 11 0.088 25 1 1.75e-06 3.2301 0.5165 0.098777 0.22663 0 0.0010953 0.05133 0.17395 3190.3 100000 100 100 0.5148 0.10218 0.21123
10 3 11 0.088 25 1 2.5e-06 3.2301 0.5165 0.098777 0.20708 0 0.0011015 0.036365 0.16929 3190.3 100000 100 100 0.5148 0.10218 0.21119
10 3 11 0.088 25 1 3.75e-06 3.2301 0.5165 0.098777 0.21325 0 0.0011605 0.040935 0.17091 3190.3 100000 100 100 0.5148 0.10218 0.20943
10 3 11 0.088 25 1 5e-06 3.2301 0.5165 0.098777 0.20754 0 0.0010326 0.036657 0.1696 3190.3 100000 100 100 0.5148 0.10218 0.20784
10 3 11 0.088 25 1 7.5e-06 3.2301 0.5165 0.098777 0.20796 0 0.0010595 0.036731 0.16986 3190.3 100000 100 100 0.5148 0.10218 0.20823
10 3 11 0.088 25 1 1e-05 3.2301 0.5165 0.098777 0.20778 0 0.0010671 0.036637 0.16984 3190.3 100000 100 100 0.5148 0.10218 0.20774
10 3 11 0.088 25 1 1.375e-05 3.2301 0.5165 0.098777 0.22449 0 0.0010698 0.050335 0.17284 3190.3 100000 100 100 0.5148 0.10218 0.22385
10 3 11 0.088 25 1 1.75e-05 3.2301 0.5165 0.098777 0.22501 0 0.0010953 0.050572 0.17303 3190.3 100000 100 100 0.5148 0.10218 0.22666
10 3 11 0.088 25 1 2.5e-05 3.2301 0.5165 0.098777 0.22946 0 0.001105 0.052506 0.17561 3190.3 100000 100 100 0.5148 0.10218 0.22513
10 3 11 0.088 25 1 3.75e-05 3.2301 0.5165 0.098777 0.20812 0 0.0010237 0.036843 0.17001 3190.3 100000 100 100 0.5148 0.10218 0.2077
10 3 11 0.088 25 1 5e-05 3.2301 0.5165 0.098777 0.20937 0 0.0010787 0.03673 0.17125 3190.3 100000 100 100 0.5148 0.10218 0.20835
10 3 11 0.088 25 1 7.5e-05 3.2301 0.5165 0.098777 0.22399 0 0.0011129 0.050141 0.17251 3190.3 100000 100 100 0.5148 0.10218 0.22396
10 3 11 0.088 25 1 0.0001 3.2301 0.5158 0.098449 0.20716 0 0.0010281 0.036651 0.16923 3178.7 100000 100 100 0.5143 0.10189 0.20692
10 3 11 0.088 25 1 0.0001375 3.2301 0.509 0.098437 0.20034 0 0.0010545 0.03674 0.16223 3047.9 100000 100 100 0.5082 0.10137 0.20015
10 3 11 0.088 25 1 0.000175 3.2301 0.4866 0.09918 0.1838 0 0.001054 0.036686 0.14584 2731.3 100000 100 100 0.4886 0.10165 0.18544
10 3 11 0.088 25 1 0.00025 3.2301 0.4063 0.10029 0.13035 0 0.0010349 0.035953 0.093127 1729.6 100000 100 100 0.4152 0.10127 0.13102
10 3 11 0.088 25 1 0.000375 3.2301 0.3008 0.093493 0.071893 0 0.0010224 0.034212 0.036349 649.57 100000 100 100 0.3176 0.097368 0.070171
10 3 11 0.088 25 1 0.0005 3.2301 0.2399 0.083782 0.052573 0 0.0010052 0.032612 0.018671 315.6 100000 100 100 0.2545 0.088468 0.051918
10 3 11 0.088 25 1 0.00075 3.2301 0.1607 0.062728 0.039798 0 0.00099773 0.030572 0.0079507 109.89 100000 100 100 0.1719 0.06949 0.038615
10 3 11 0.088 25 1 0.001 3.2301 0.1159 0.049206 0.034717 0 0.00099288 0.028801 0.0045946 50.296 100000 100 100 0.1195 0.051101 0.033611
10 3 11 0.088 25 1 0.001375 3.2301 0.0771 0.033499 0.032196 0 0.00092031 0.02826 0.0026795 20.841 100000 100 100 0.0779 0.036678 0.031089
10 3 11 0.088 25 1 0.00175 3.2301 0.0518 0.022159 0.029938 0 0.00079596 0.027126 0.0017063 10.465 100000 100 100 0.0538 0.026112 0.029415
10 3 11 0.088 25 1 0.0025 3.2301 0.0282 0.011917 0.028303 0 0.00074163 0.026467 0.00081906 3.625 100000 100 100 0.0276 0.012771 0.027591
10 3 11 0.088 25 1 0.00375 3.2301 0.0117 0.004938 0.027409 0 0.00072932 0.026154 0.00032941 0.934 100000 100 100 0.0115 0.0050628 0.026868
10 3 11 0.088 25 1 0.005 3.2301 0.0055 0.0018816 0.026726 0 0.00071465 0.025671 0.00015215 0.328 100000 100 100 0.0054 0.0022531 0.026322
10 3 11 0.088 25 1 0.0075 3.2301 0.0013 0.00036868 0.026583 0 0.00072176 0.025603 7.1237e-05 0.048 100000 100 100 0.001 0.00041942 0.026218
10 3 11 0.088 25 1 0.01 3.2301 0.0001 1e-05 0.0264 0 0.00072401 0.025442 4.7228e-05 0.002 100000 100 100 0 0 0.02899
10 3 13 0.088 25 1 1e-07 6.97952 0.328 0.099255 0.1212 0 0.0020325 0.042605 0.076169 910.57 100000 100 100 0.3617 0.11512 0.07981
10 3 13 0.088 25 1 1.375e-07 6.9795 0.328 0.099255 0.082443 0 0.0014716 0.028626 0.052131 910.57 100000 100 100 0.3617 0.11512 0.080951
10 3 13 0.088 25 1 1.75e-07 6.9795 0.328 0.099255 0.081702 0 0.0014522 0.028475 0.051562 910.57 100000 100 100 0.3617 0.11512 0.07992
10 3 13 0.088 25 1 2.5e-07 6.9795 0.328 0.099255 0.081595 0 0.0014525 0.028438 0.051482 910.57 100000 100 100 0.3617 0.11512 0.079973
10 3 13 0.088 25 1 3.75e-07 6.9795 0.328 0.099255 0.084236 0 0.0014904 0.029328 0.053188 910.57 100000 100 100 0.3617 0.11512 0.081342
10 3 13 0.088 25 1 5e-07 6.9795 0.328 0.099255 0.076732 0 0.001431 0.024062 0.051016 910.57 100000 100 100 0.3617 0.11512 0.075048
10 3 13 0.088 25 1 7.5e-07 6.9795 0.328 0.099255 0.08293 0 0.0014715 0.02912 0.052122 910.57 100000 100 100 0.3617 0.11512 0.080017
10 3 13 0.088 25 1 1e-06 6.9795 0.328 0.099255 0.082169 0 0.001455 0.028554 0.051934 910.57 100000 100 100 0.3617 0.11512 0.080603
10 3 13 0.088 25 1 1.375e-06 6.9795 0.328 0.099255 0.079204 0 0.0014455 0.025927 0.0516 910.57 100000 100 100 0.3617 0.11512 0.074825
