	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
544	10	100	9	0.0104	1	1.6263	0.8545	0.029269	58.813	0.084186	0.023545	0.27345	58.43	15367.0	0.8466	0.03128	58.806	0	0	0	9	24	39	72	89	155	188	424
562	10	100	10	0.0104	1	1.97806	0.7469	0.050721	33.589	0.10733	0.031473	0.20637	33.243	8303.9	0.7398	0.051187	32.437	1	4	21	38	60	78	113	130	148	163	244
580	10	100	11	0.0104	1	2.05274	0.6111	0.067354	17.361	0.10688	0.042926	0.17652	17.034	4372.2	0.5963	0.07347	16.953	10	25	59	84	115	123	135	115	106	102	126
598	10	100	12	0.0104	1	1.93285	0.4649	0.072851	9.2407	0.10826	0.043522	0.15063	8.9374	2257.9	0.4574	0.071697	8.8323	24	92	135	142	142	110	99	83	53	56	64
616	10	125	6	0.0104	1	1.90508	0.9993	8.96e-05	232.05	0.1183	0.0073941	1.2003	230.72	70890.0	0.9995	4.98e-05	227.63	0	0	0	0	0	0	0	0	1	5	994
634	10	125	7	0.0104	1	2.0887	0.9914	0.0011672	192.32	0.085609	0.013217	0.76052	191.46	50120.0	0.9924	0.00090314	193.03	0	0	0	0	0	0	1	0	13	56	930
652	10	125	8	0.0104	1	2.33363	0.965	0.0059209	120.55	0.096883	0.019756	0.49115	119.94	31438.0	0.9651	0.0059179	120.0	0	0	0	0	0	1	10	21	49	144	775
670	10	125	9	0.0104	1	3.14566	0.9016	0.019397	73.821	0.11555	0.029016	0.33662	73.339	18300.0	0.9009	0.019108	71.178	0	0	0	3	8	23	37	65	131	195	538
688	10	125	10	0.0104	1	2.74024	0.7913	0.043498	42.531	0.12889	0.039329	0.31512	42.046	10128.0	0.7795	0.047978	40.592	0	3	10	26	44	59	105	119	136	190	308
706	10	125	11	0.0104	1	2.69534	0.6729	0.063679	21.602	0.13202	0.056283	0.21934	21.193	5364.9	0.6559	0.066552	20.868	1	18	41	64	104	97	111	132	118	138	176
724	10	125	12	0.0104	1	2.00482	0.5272	0.074435	12.218	0.14311	0.061253	0.16972	11.843	2787.5	0.5267	0.07313	11.431	18	61	117	108	108	125	118	107	82	77	79
742	10	150	6	0.0104	1	3.09234	0.9996	3.988e-05	297.26	0.13662	0.0095295	1.4028	295.71	75094.0	0.9996	3.988e-05	301.23	0	0	0	0	0	0	0	0	0	4	996
760	10	150	7	0.0104	1	2.53973	0.9959	0.00047366	212.97	0.10348	0.02011	0.94888	211.9	54707.0	0.995	0.00057558	209.04	0	0	0	0	0	0	0	0	4	33	963
778	10	150	8	0.0104	1	2.17399	0.9795	0.003213	136.09	0.11441	0.025017	0.57572	135.38	35436.0	0.9769	0.0036	135.44	0	0	0	0	0	1	1	13	24	109	852
796	10	150	9	0.0104	1	6.52183	0.9293	0.013825	83.544	0.13818	0.035672	0.3813	82.988	21001.0	0.9293	0.013125	81.916	0	0	1	1	1	13	23	50	105	169	637
814	10	150	10	0.0104	1	2.23538	0.8354	0.036143	45.77	0.13662	0.049886	0.28555	45.296	11825.0	0.8293	0.036808	45.463	0	4	6	17	22	43	73	108	146	188	393
832	10	150	11	0.0104	1	3.92627	0.7136	0.060355	26.254	0.163	0.077334	0.22696	25.785	6324.9	0.7085	0.059297	25.352	1	15	29	54	66	100	106	134	125	137	233
