k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 200 200000 141.79 0.9809 0.0031083 33.783 0.9816 0.0031045 33.439 0 0 0 0 0 1 2 10 26 96 865 
10 200 400000 141.79 0.9869 0.0021806 47.882 0.9876 0.0020082 47.495 0 0 0 0 0 1 1 6 18 68 906 
10 400 25 277.966 0.815 0.033328 6.0487 0.8224 0.03127 6.0576 0 1 5 15 30 45 79 137 175 214 299 
10 400 50 277.97 0.815 0.033328 6.0594 0.8224 0.03127 6.0576 0 1 5 15 30 45 79 137 175 214 299 
10 400 100 277.97 0.815 0.033328 6.0908 0.8224 0.03127 6.0757 0 1 5 15 30 45 79 137 175 214 299 
10 400 200 277.97 0.815 0.033328 6.0743 0.8224 0.03127 6.0626 0 1 5 15 30 45 79 137 175 214 299 
10 400 400 277.97 0.815 0.033328 6.0585 0.8224 0.03127 6.0591 0 1 5 15 30 45 79 137 175 214 299 
10 400 1000 277.97 0.815 0.033328 6.0557 0.8224 0.03127 6.0567 0 1 5 15 30 45 79 137 175 214 299 
10 400 2000 277.97 0.8182 0.032321 6.1318 0.8232 0.031093 6.1103 0 0 5 15 28 43 78 136 177 216 302 
10 400 4000 277.97 0.8788 0.021472 8.1722 0.882 0.020016 8.1651 0 0 2 2 12 20 49 89 162 223 441 
10 400 10000 277.97 0.917 0.013825 10.581 0.9168 0.014652 10.5 0 0 0 0 5 10 22 62 127 222 552 
10 400 20000 277.97 0.9414 0.0095956 13.595 0.9419 0.0099644 13.553 0 0 0 0 3 5 11 34 95 207 645 
10 400 40000 277.97 0.9573 0.0067735 17.495 0.9566 0.0074239 17.372 0 0 0 0 0 5 7 20 64 186 718 
10 400 100000 277.97 0.9715 0.0043821 24.735 0.9733 0.0047018 24.412 0 0 0 0 0 2 3 11 46 138 800 
10 400 200000 277.97 0.9784 0.0033368 33.113 0.9795 0.0035133 32.612 0 0 0 0 0 1 2 10 30 113 844 
10 400 400000 277.97 0.9837 0.0027871 45.696 0.9853 0.0022962 45.328 0 0 0 0 0 1 2 9 22 79 887 
