k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 256 250 13.031 0.9694 0.004328 2.8196 0.9696 0.00412 2.6899 0 0 0 0 0 1 4 11 43 166 775 
10 256 500 13.031 0.9935 0.00066842 4.3282 0.9933 0.00074586 4.514 0 0 0 0 0 0 0 0 3 59 938 
10 512 1 13.031 0.1374 0.017859 0.83165 0.128 0.015592 0.83808 298 329 185 120 41 17 6 2 2 0 0 
10 512 2 13.031 0.2066 0.029526 0.85355 0.1987 0.025534 0.85545 180 268 209 155 99 48 18 17 3 2 1 
10 512 3 13.031 0.2613 0.03801 0.86767 0.2532 0.033683 0.86316 126 203 207 184 111 84 45 22 10 4 4 
10 512 4 13.031 0.3028 0.041834 0.86822 0.3011 0.038027 0.86698 90 155 204 189 142 101 58 30 19 5 7 
10 512 5 13.031 0.3397 0.046 0.87247 0.34 0.042843 0.898 69 132 176 177 167 124 66 42 27 12 8 
10 512 8 13.031 0.4248 0.051436 0.95706 0.4292 0.051078 0.90558 32 77 126 164 176 142 121 77 35 32 18 
10 512 10 13.031 0.4676 0.052823 0.94827 0.4762 0.051765 0.93109 21 54 108 140 168 173 114 102 56 37 27 
10 512 12 13.031 0.5079 0.05262 0.9294 0.513 0.051943 0.91345 13 40 78 125 166 176 130 110 82 42 38 
10 512 20 13.031 0.6168 0.054312 0.96806 0.6141 0.04876 1.0166 5 18 41 71 114 155 136 137 140 101 82 
10 512 25 13.031 0.6645 0.051882 1.0089 0.6603 0.04564 1.0037 3 13 26 54 90 128 138 159 142 129 118 
10 512 50 13.031 0.7917 0.036998 1.1845 0.7895 0.033053 1.1765 0 1 6 14 44 58 106 148 158 190 275 
10 512 75 13.031 0.855 0.025881 1.3663 0.8513 0.024303 1.3943 0 0 2 2 14 40 68 119 146 215 394 
10 512 100 13.031 0.8919 0.018523 1.5689 0.8901 0.01791 1.5739 0 0 0 2 7 15 44 89 141 225 477 
10 512 250 13.031 0.9694 0.004328 2.7214 0.9698 0.0041121 3.2524 0 0 0 0 0 1 4 11 43 166 775 
10 512 500 13.031 0.9937 0.00065096 5.5077 0.9935 0.00072848 5.4556 0 0 0 0 0 0 0 0 3 57 940 
10 1024 1 13.031 0.1374 0.017859 1.1863 0.128 0.015592 1.1912 298 329 185 120 41 17 6 2 2 0 0 
10 1024 2 13.031 0.2066 0.029526 1.1945 0.1987 0.025534 1.1892 180 268 209 155 99 48 18 17 3 2 1 
10 1024 3 13.031 0.2613 0.03801 1.2498 0.2532 0.033683 1.2455 126 203 207 184 111 84 45 22 10 4 4 
10 1024 4 13.031 0.3028 0.041834 1.2164 0.3011 0.038027 1.2151 90 155 204 189 142 101 58 30 19 5 7 
10 1024 5 13.031 0.3397 0.046 1.2189 0.34 0.042843 1.2274 69 132 176 177 167 124 66 42 27 12 8 
10 1024 8 13.031 0.4248 0.051436 1.2511 0.4292 0.051078 1.2664 32 77 126 164 176 142 121 77 35 32 18 
10 1024 10 13.031 0.4676 0.052823 1.2603 0.4762 0.051765 1.2728 21 54 108 140 168 173 114 102 56 37 27 
10 1024 12 13.031 0.5079 0.05262 1.4252 0.513 0.051943 1.3428 13 40 78 125 166 176 130 110 82 42 38 
10 1024 20 13.031 0.6168 0.054312 1.3365 0.6141 0.04876 1.5428 5 18 41 71 114 155 136 137 140 101 82 
10 1024 25 13.031 0.6645 0.051882 1.4515 0.6603 0.04564 1.3961 3 13 26 54 90 128 138 159 142 129 118 
10 1024 50 13.031 0.7917 0.036998 1.5175 0.7895 0.033053 1.5008 0 1 6 14 44 58 106 148 158 190 275 
10 1024 75 13.031 0.855 0.025881 1.9393 0.8513 0.024303 1.9164 0 0 2 2 14 40 68 119 146 215 394 
10 1024 100 13.031 0.8919 0.018523 2.0487 0.8901 0.01791 2.0123 0 0 0 2 7 15 44 89 141 225 477 
10 1024 250 13.031 0.9694 0.004328 3.6978 0.9698 0.0041121 3.3196 0 0 0 0 0 1 4 11 43 166 775 
10 1024 500 13.031 0.9937 0.00065096 5.6411 0.9935 0.00072848 4.7022 0 0 0 0 0 0 0 0 3 57 940 
10 2048 1 13.031 0.1374 0.017859 1.3565 0.128 0.015592 1.3627 298 329 185 120 41 17 6 2 2 0 0 
10 2048 2 13.031 0.2066 0.029526 1.4052 0.1987 0.025534 1.4206 180 268 209 155 99 48 18 17 3 2 1 
10 2048 3 13.031 0.2613 0.03801 1.392 0.2532 0.033683 1.3689 126 203 207 184 111 84 45 22 10 4 4 
10 2048 4 13.031 0.3028 0.041834 1.4482 0.3011 0.038027 1.389 90 155 204 189 142 101 58 30 19 5 7 
10 2048 5 13.031 0.3397 0.046 1.428 0.34 0.042843 1.4221 69 132 176 177 167 124 66 42 27 12 8 
10 2048 8 13.031 0.4248 0.051436 1.4507 0.4292 0.051078 1.4192 32 77 126 164 176 142 121 77 35 32 18 
10 2048 10 13.031 0.4676 0.052823 1.4118 0.4762 0.051765 1.4299 21 54 108 140 168 173 114 102 56 37 27 
10 2048 12 13.031 0.5079 0.05262 1.415 0.513 0.051943 1.4081 13 40 78 125 166 176 130 110 82 42 38 
10 2048 20 13.031 0.6168 0.054312 1.4662 0.6141 0.04876 1.4571 5 18 41 71 114 155 136 137 140 101 82 
10 2048 25 13.031 0.6645 0.051882 1.4924 0.6603 0.04564 1.4866 3 13 26 54 90 128 138 159 142 129 118 
10 2048 50 13.031 0.7917 0.036998 1.6824 0.7895 0.033053 1.6658 0 1 6 14 44 58 106 148 158 190 275 
10 2048 75 13.031 0.855 0.025881 1.8177 0.8513 0.024303 1.8195 0 0 2 2 14 40 68 119 146 215 394 
10 2048 100 13.031 0.8919 0.018523 2.1377 0.8901 0.01791 2.0008 0 0 0 2 7 15 44 89 141 225 477 
10 2048 250 13.031 0.9694 0.004328 2.9852 0.9698 0.0041121 2.9733 0 0 0 0 0 1 4 11 43 166 775 
